Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish,,
goWanderingHordeCount,UI,Menu,,,Wandering Horde Frequency,,Wandering Horde Frequenz,Frequência Wandering Horde,Wandering Horde Fréquence,Wandering Orda di frequenza,さすらいの大群頻度,방황 호드 주파수,Wandering Horde Częstotliwość,Frequência Wandering Horde,Блуждающая Орда Частота,Dolaşan Horde Frekansı,流浪部落频率,流浪部落頻率,Errante horda de frecuencia
goWanderingHordeCountDesc,UI,Menu,,,Sets how often wandering hordes happen.,,"Legt fest, wie oft wandernde Horden passieren.",Define quantas vezes hordas errantes acontecer.,Définit la fréquence des hordes errantes se produisent.,Imposta la frequenza con orde vaganti accadere.,放浪の大群が発生する頻度を設定します。,방황하는 무리가 발생하는 빈도를 설정합니다.,Ustawia jak często wędrujące hordy zdarzyć.,Define quantas vezes hordas errantes acontecer.,"Устанавливает, как часто бродячие орды случаются.",dolaşıp ordularını olma sıklığını belirler.,设置成群游荡如何经常发生。,設置成群遊蕩如何經常發生。,Establece con qué frecuencia ocurren hordas errantes.
goWanderingHordeMultiplier,UI,Menu,,,Wandering Horde Zombies,,Wandering Horde Zombies,Wandering Horde Zombies,Wandering Horde Zombies,Wandering Orda Zombies,さすらいの大群ゾンビ,방황 호드 좀비,Wandering Hordy zombie,Wandering Horde Zombies,Блуждающая Орда зомби,Dolaşan Horde Zombiler,流浪部落僵尸,流浪部落殭屍,Errante Horda Zombies
goWanderingHordeMultiplierDesc,UI,Menu,,,Sets how many zombies are present in the wandering horde.,,"Legt fest, wie viele Zombies sind in der wandernden Horde.",Define o número de zumbis estão presentes na horda errante.,Définit le nombre de zombies sont présents dans la horde errant.,Imposta il numero di zombie sono presenti nel orda errante.,放浪の大群に存在しているどのように多くのゾンビを設定します。,얼마나 많은 좀비 세트 방황하는 무리에 존재한다.,Ustawia jak najwięcej zombie są obecne w hordzie wędrowny.,Define o número de zumbis estão presentes na horda errante.,"Устанавливает, сколько зомби присутствуют в блуждающей орде.",kaç zombi takımları dolaşıp kalabalık mevcuttur.,设置多少僵尸出现在流浪部落。,設置多少殭屍出現在流浪部落。,Establece cuántos zombies están presentes en la horda errante.
mmGoMaxZombies,UI,Menu,,,Max Zombies Alive,,Max Zombies Lebend,Max Zombies Vivo,Max Zombies vivant,Max Zombies Alive,マックス・ゾンビアライブ,최대 좀비 살아,Max Zombies Alive,Max Zombies Vivo,Макс Zombies жив,Max Zombiler Alive,最大僵尸活着,最大殭屍活著,Max Zombies Alive
goMaxZombies,UI,Menu,,,Max Zombies Alive,,Max Zombies Lebend,Max Zombies Vivo,Max Zombies vivant,Max Zombies Alive,マックス・ゾンビアライブ,최대 좀비 살아,Max Zombies Alive,Max Zombies Vivo,Макс Zombies жив,Max Zombiler Alive,最大僵尸活着,最大殭屍活著,Max Zombies Alive
goMaxZombiesDesc,UI,Menu,,,Maximum amount of zombies that can spawn in the world.,,"Die maximale Menge an Zombies, die in der Welt hervorbringen können.",quantidade máxima de zumbis que pode desovam no mundo.,Montant maximum de zombies qui peuvent frayer dans le monde.,Importo massimo di zombie che possono deporre le uova nel mondo.,世界で産卵することができますゾンビの最大量。,세계에서 산란 할 수 좀비의 최대 양입니다.,"Maksymalna ilość zombie, które mogą tarło w świecie.",quantidade máxima de zumbis que pode desovam no mundo.,"Максимальное количество зомби, которые могут метать икру в мире.",Dünyada iletebilir zombi maksimum miktar.,可在世界产卵僵尸的最大数量。,可在世界產卵殭屍的最大數量。,Cantidad máxima de zombies que se puede generar en el mundo.
goZombies,UI,Menu,,,{0} Zombies,,{0} Zombies,{0} Zombies,{0} Zombies,{0} Zombies,{0}ゾンビ,{0} 좀비,{0} zombie,{0} Zombies,{0} зомби,{0} Zombiler,{0}僵尸,{0}殭屍,{0} Zombies
mmGoMaxAnimals,UI,Menu,,,Max Animals Alive,,Max Tiere lebendig,Max animais vivos,Max animaux vivants,Max animali vivi,マックス動物アライブ,최대 동물 살아,Max Animals Alive,Max animais vivos,Макс Животные Живой,Max Hayvanlar Alive,最大的动物活着,最大的動物活著,Max animales vivos
goMaxAnimals,UI,Menu,,,Max Animals Alive,,Max Tiere lebendig,Max animais vivos,Max animaux vivants,Max animali vivi,マックス動物アライブ,최대 동물 살아,Max Animals Alive,Max animais vivos,Макс Животные Живой,Max Hayvanlar Alive,最大的动物活着,最大的動物活著,Max animales vivos
goMaxAnimalsDesc,UI,Menu,,,Maximum amount of animals that can spawn in the world.,,"Die maximale Menge an Tieren, die in der Welt hervorbringen können.",montante máximo de animais que podem desovam no mundo.,Montant maximum d'animaux qui peuvent frayer dans le monde.,Importo massimo di animali che possono deporre le uova nel mondo.,世界で産卵することができ、動物の最大量。,세계에서 산란 할 수 동물의 최대 양입니다.,"Maksymalna ilość zwierząt, które mogą tarło w świecie.",montante máximo de animais que podem desovam no mundo.,"Максимальное количество животных, которые могут метать икру в мире.",Dünyada iletebilir hayvanların maksimum miktar.,动物可以在世界上产卵的最高限额。,動物可以在世界上產卵的最高限額。,Cantidad máxima de animales que pueden desovar en el mundo.
goAnimals,UI,Menu,,,{0} Animals,,{0} Tiere,{0} Animais,{0} Animaux,{0} Animali,{0}動物,{0} 동물,{0} zwierzęta,{0} Animais,{0} Животные,{0} Hayvanlar,{0}动物,{0}動物,{0} Animales
mmGoLandClaimCount,,,Main Menu Game Options,KgNone,Land Claim Amount,,Land Claim Betrag,Terra reivindicação Quantidade,Montant selon la revendication Terrain,Terra rivendicazione Importo,土地の請求額,토지 청구 금액,Grunt Kwota Roszczenie,Terra reivindicação Quantidade,Количество земельных претензий,Arsa İddiası Tutar,土地索赔金额,土地索賠金額,Monto de Reclamación de tierras,,,,
goLandClaimCount,,UI,Menu,KgNone,Claim Amount,,Anspruch Amount,reivindicação Quantidade,Montant de la réclamation,Importo rivendicazione,請求額,청구 금액,Kwota roszczenia,reivindicação Quantidade,Количество претензий,İddia Tutar,索赔金额,索賠金額,Reclamar cantidad,,,,
goLandClaimCountDesc,,UI,Menu,KgNone,The amount of land claim blocks a player can have active.,,Die Menge an Land Claim-Blöcke kann ein Spieler aktiv ist.,A quantidade de blocos de reivindicação de terras que um jogador pode ter ativo.,La quantité de blocs de revendications territoriales qu'un joueur peut avoir actif.,La quantità di blocchi di reclamo atterrare un giocatore può avere attiva.,プレイヤーがアクティブにできる土地の請求ブロックの量。,플레이어가 활성화 할 수있는 토지 클레임 블록의 양입니다.,Liczba bloków roszczeń do ziemi które gracz może mieć aktywnych.,A quantidade de blocos de reivindicação de terras que um jogador pode ter ativo.,"Количество блоков земельных претензий, которые игрок может активировать.",Arazi iddia edilen blok sayısının oyuncu aktif olabilir.,土地要求块的量的玩家可以具有活性。,土地要求塊的量的玩家可以具有活性。,La cantidad de bloques de la demanda de tierras puede tener un jugador activo.,,,,
goLandClaimCountValue,,UI,Menu,KgNone,{0} block,,{0} -Block,{0} bloco,{0} bloc,{0} blocco,{0}ブロック,{0} 블록,{0} blok,{0} bloco,{0} Блок,{0} blok,{0}块,{0}塊,{0} de bloque,,,,
goLandClaimCountValues,,UI,Menu,KgNone,{0} blocks,,{0} Blöcke,{0} blocos,{0} blocs,{0} blocchi,{0}ブロック,{0} 블록,{0} bloki,{0} blocos,{0} блоки,{0} blokları,{0}块,{0}塊,{0} bloques,,,,
sc_Melee,entityclasses,Entity,,,Supply Crate,,Versorgungskiste,Embalaje de suministros,Caisse de provisions,Cassa di provviste,補給品クレート,보급품 상자,Skrzynia z zapasami,Caixote de suprimentos,Ящик снабжения,Erzak Sandığı,补给板条箱,補給箱,Embalaje de suministros
sc_Ranged,entityclasses,Entity,,,Supply Crate,,Versorgungskiste,Embalaje de suministros,Caisse de provisions,Cassa di provviste,補給品クレート,보급품 상자,Skrzynia z zapasami,Caixote de suprimentos,Ящик снабжения,Erzak Sandığı,补给板条箱,補給箱,Embalaje de suministros
sc_Food,entityclasses,Entity,,,Supply Crate,,Versorgungskiste,Embalaje de suministros,Caisse de provisions,Cassa di provviste,補給品クレート,보급품 상자,Skrzynia z zapasami,Caixote de suprimentos,Ящик снабжения,Erzak Sandığı,补给板条箱,補給箱,Embalaje de suministros
sc_Construction,entityclasses,Entity,,,Supply Crate,,Versorgungskiste,Embalaje de suministros,Caisse de provisions,Cassa di provviste,補給品クレート,보급품 상자,Skrzynia z zapasami,Caixote de suprimentos,Ящик снабжения,Erzak Sandığı,补给板条箱,補給箱,Embalaje de suministros
sc_Medical,entityclasses,Entity,,,Supply Crate,,Versorgungskiste,Embalaje de suministros,Caisse de provisions,Cassa di provviste,補給品クレート,보급품 상자,Skrzynia z zapasami,Caixote de suprimentos,Ящик снабжения,Erzak Sandığı,补给板条箱,補給箱,Embalaje de suministros
sc_Ammo,entityclasses,Entity,,,Supply Crate,,Versorgungskiste,Embalaje de suministros,Caisse de provisions,Cassa di provviste,補給品クレート,보급품 상자,Skrzynia z zapasami,Caixote de suprimentos,Ящик снабжения,Erzak Sandığı,补给板条箱,補給箱,Embalaje de suministros
meleeToolScrapPickaxe,,items,Tool,KgNone,Scrap Iron Pickaxe,,Alteisen Pickaxe,Sucata de Ferro Picareta,Ferraille Pioche,Rottami di ferro Piccone,スクラップ鉄のつるはし,스크랩 철 곡괭이,Złom żelazny kilof,Sucata de Ferro Picareta,Кирка из металлолома,Hurda Demir Kazma,废铁镐,廢鐵鎬,Chatarra de hierro Pico
pickaxeScrapDesc,,items,Tool,KgNone,The scrap iron pickaxe is great for breaking stone and harvesting minerals.,,Der Schrott pickaxe ist groß für das Brechen von Stein und Ernte Mineralien.,A picareta sucata de ferro é ótimo para quebrar pedra e colheita minerais.,Le pickaxe de fer de la ferraille est grande pour briser les minéraux de pierre et de récolte.,Il piccone rottami di ferro è grande per la rottura di pietra e raccolta di minerali.,スクラップ鉄つるはしは石や収穫ミネラルを破壊するのに最適です。,스크랩 철 곡괭이는 돌과 수확 미네랄을 깨는에 좋은 곳입니다.,Kilof złom żelaza jest wielki za łamanie kamienia i zbierania minerałów.,A picareta sucata de ferro é ótimo para quebrar pedra e colheita minerais.,Кирка из металлолома отлично подходит для дробления камня и добычи полезных ископаемых.,hurda demir kazma taş ve hasat mineralleri bozduğu için mükemmeldir.,废铁镐是伟大的破石头和收获矿物质。,廢鐵鎬是偉大的破石頭和收穫礦物質。,El pico de chatarra es ideal para romper piedra y cosecha minerales.
meleeToolScrapFireaxe,,items,Tool,KgNone,Scrap Iron Fireaxe,,Alteisen Fireaxe,Sucata de ferro Fireaxe,Ferraille Fireaxe,Rottami di ferro Fireaxe,スクラップ鉄Fireaxe,스크랩 철 Fireaxe,Złom żelaza Fireaxe,Sucata de ferro Fireaxe,Пожарный топор из металлолома,Hurda Demir Fireaxe,废铁Fireaxe,廢鐵Fireaxe,Chatarra de hierro Fireaxe
fireaxeScrapDesc,,items,Tool,KgNone,The fireaxe is good for harvesting wood and has a better chance to dismember than most weapons.,,"Die fireaxe ist gut für die Holzernte und hat eine bessere Chance zu zerstückeln, als die meisten Waffen.",O fireaxe é bom para a madeira colheita e tem uma melhor chance de desmembrar que a maioria das armas.,Le fireaxe est bon pour la récolte du bois et a une meilleure chance de démembrer que la plupart des armes.,Il fireaxe è buono per il legno di raccolta e ha una migliore possibilità di smembrare che la maggior parte delle armi.,fireaxeは収穫木材のために良好であり、ほとんどの武器より切り放すへのより良いチャンスがあります。,fireaxe 수확 나무에 좋은 대부분의 무기보다 더 사지를 절단에 더 나은 기회가있다.,Fireaxe jest dobre dla drewna zbioru i ma większe szanse na rozbicie niż większość broni.,O fireaxe é bom para a madeira colheita e tem uma melhor chance de desmembrar que a maioria das armas.,"Пожарный топор хорош для заготовки дров и имеет больше шансов расчленить, чем большинство других видов оружия.",fireaxe hasat odun için iyidir ve çoğu silah daha parçalamak için şansı daha yüksektir.,该fireaxe是采伐木材好，有更好的机会来肢解比大多数武器。,該fireaxe是採伐木材好，有更好的機會來肢解比大多數武器。,El Fireaxe que es bueno para la extracción de madera y tiene una mejor oportunidad para desmembrar a que la mayoría de las armas.
meleeToolScrapShovel,,items,Tool,KgNone,Scrap Iron Shovel,,Schrott Schaufel,Sucata de ferro Pá,Pelle déchets de fer,Rottami di ferro Pala,スクラップ鉄のシャベル,스크랩 철 삽,Złom żelaza Łopata,Sucata de ferro Pá,Лопата из металлолома,Hurda Demir Kürek,废铁铲,廢鐵鏟,Chatarra de hierro Pala
shovelScrapDesc,,items,Tool,KgNone,"The scrap iron shovel is great for digging through earth, sand or snow.",,"Der Schrott Schaufel ist für Graben durch Erde, Sand oder Schnee.","A pá de ferro-velho é ótimo para cavar através de terra, areia ou neve.","La pelle de ferraille est grande pour creuser à travers la terre, du sable ou de la neige.","La pala rottami di ferro è grande per scavare tra terra, sabbia o neve.",鉄スクラップショベルは土、砂や雪を掘りに最適です。,"스크랩 철 삽으로 흙, 모래 또는 눈을 통해 파고에 좋은 곳입니다.","Łopata złom żelaza jest idealne do kopania poprzez ziemi, piasku lub śniegu.","A pá de ferro-velho é ótimo para cavar através de terra, areia ou neve.","Лопата из металлолома отлично подходит для рытья земли, песка или снега.",hurda demir kürek toprak kum veya karda kazma için mükemmeldir.,废钢铁铲是伟大的，通过土，沙或雪挖。,廢鋼鐵鏟是偉大的，通過土，沙或雪挖。,"La pala de chatarra de hierro es ideal para cavar a través de tierra, arena o nieve."
meleeWpnBladeScrapMachete,,items,Melee,KgNone,Scrap Machete,,Schrott Machete,Scrap Machete,Scrap Machete,Scrap Machete,スクラップマチェーテ,스크랩 마체 테,złom Machete,Scrap Machete,Мачете из металлолома,hurda Machete,废料弯刀,廢料彎刀,chatarra de Machete
scrapMacheteDesc,,items,Melee,KgNone,Great for chopping zombie limbs off and gutting animals for meat.,,Groß für off Zombie Gliedmaßen hacken und Tiere für Fleisch ausnehmen.,Ótimo para cortar membros de zumbis fora e evisceração animais para a carne.,Idéal pour hacher les membres de zombies et les animaux hors éviscération pour la viande.,Grande per tagliare gli arti zombie off e l'eviscerazione animali da carne.,食肉用の動物をゾンビの手足をオフにチョッピングし、guttingのために大きいです。,떨어져 좀비 사지를 자르고 고기를 위해 동물을 소화 관용에 아주 좋아.,Świetny do siekania kończyny zombie off i patroszenia zwierząt dla mięsa.,Ótimo para cortar membros de zumbis fora e evisceração animais para a carne.,Отлично подходит для отрубания конечностей зомби и потрошения животных на мясо.,kapalı zombi uzuvları doğrama ve et için hayvan gutting için harika.,伟大的砍僵尸四肢关闭，古亭动物肉。,偉大的砍殭屍四肢關閉，古亭動物肉。,Excelente para cortar las extremidades de zombies apagado y destripar animales para carne.
meleeWpnSpearScrap,items,item,,,Scrap Iron Spear,,Alteisen Spear,Sucata de ferro Lança,Déchets de fer Spear,Rottami di ferro Spear,スクラップアイアンスピア,스크랩 철 스피어,Złom żelaza Spear,Sucata de ferro Lança,Копье из металлолома,Hurda Demir Mızrak,废铁矛,廢鐵矛,Chatarra de hierro de la lanza
meleeWpnSpearScrapDesc,items,item,,,A spear made out of random bits of metal found in the wasteland. Slightly more durable and slightly more damage than it's stone counterpart,,in der Wüste gefunden Ein Speer von Zufallsbit aus Metall hergestellt werden. Etwas mehr haltbar und leicht mehr Schaden als es ist Stein Pendant,Uma lança feita de bits aleatórios de metal encontrado no deserto. Ligeiramente mais durável e ligeiramente mais danos do que é homólogo de pedra,Une lance faite de bits aléatoires de métal trouvée dans le désert. Un peu plus durable et un peu plus de dégâts que son homologue en pierre,Una lancia fatto di bit casuali di metallo trovato nel deserto. Un po 'più resistente e leggermente più danni di quanto la sua controparte in pietra,荒れ地に見出される金属のランダムビットから作ら槍。それの石のカウンターパートよりもわずかにより耐久性とわずかに多くのダメージ,금속의 임의의 비트에서 만든 창은 황무지 검색된. 약간 더 튼튼하고 약간 더 많은 피해가 돌 대응의보다,Dzida wykonane z przypadkowych bitów metalu znajduje się w nieużytki. Nieco bardziej trwałe i nieco więcej szkód niż to odpowiednik kamienia,Uma lança feita de bits aleatórios de metal encontrado no deserto. Ligeiramente mais durável e ligeiramente mais danos do que é homólogo de pedra,"Копье, сделанное из случайных кусочков металла, найденных в пустошах. Чуть более прочный и немного более разрушительный, чем его каменный аналог",metal rastgele bit dışında yapılan bir mızrak araziden bulundu. Biraz daha dayanıklı ve biraz daha hasar taş muadili var daha,金属的随机比特的开出了矛在荒地找到。稍微更耐用，稍微损害比它的对手石,金屬的隨機比特的開出了矛在荒地找到。稍微更耐用，稍微損害比它的對手石,Una lanza hecha de bits aleatorios de metal que se encuentra en el desierto. Ligeramente más duradero y ligeramente más daño que su homólogo de piedra
meleeWpnKnucklesScrap,items,item,,,Scrap Iron Knuckles,,Alteisen Knuckles,Sucata de ferro knuckles,Ferraille Knuckles,Rottami di ferro Knuckles,スクラップ鉄Knuckles,스크랩 철 Knuckles,Złom żelaza Knuckles,Sucata de ferro knuckles,Кастеты из металлолома,Hurda Demir Knuckles,废铁Knuckles,廢鐵Knuckles,Chatarra de hierro Knuckles
meleeWpnKnucklesScrapDesc,items,item,,,"Knucles made out of scrap bits of metal, duct tape and hope. Does slightly more damage than the leather version.",,"Knucles hergestellt aus Schrott Bits aus Metall, Klebeband und Hoffnung. Hat etwas beschädigen mehr als die Lederausführung.","Knucles feita de pedaços de sucata de metal, fita adesiva e esperança. Será que um pouco mais danos do que a versão de couro.","Knucles fabriqués à partir de morceaux de ferraille de métal, du ruban adhésif et l'espérance. Ne légèrement plus de dégâts que la version en cuir.","Knucles fatti di bit rottami metallici, nastro adesivo e speranza. Fa un po 'più danni rispetto alla versione in pelle.",Knuclesは、金属、ダクトテープと希望のスクラップビットのうち作られました。革のバージョンよりもわずかに多くのダメージを与えます。,"Knucles 금속, 덕트 테이프와 희망의 스크랩 비트 밖으로했다. 약간 가죽 버전보다 손상 않습니다.","Knucles wykonane z kawałków złomu metalowego, taśmę klejącą i nadziei. Ma nieco bardziej uszkodzić niż w wersji skórzanej.","Knucles feita de pedaços de sucata de metal, fita adesiva e esperança. Será que um pouco mais danos do que a versão de couro.","Кастеты сделаны из кусков металла, клейкой ленты и надежды. Наносит немного больше урона, чем кожаная версия.",Knucles metal koli bandı ve umut hurda bit yapılmış. biraz daha deri sürümünden daha zarar vermez.,Knucles由金属，胶带和希望废料比特出来。是否略多于皮革版损坏。,Knucles由金屬，膠帶和希望廢料比特出來。是否略多於皮革版損壞。,"Knucles hechos de bits de chatarra de metal, cinta adhesiva y esperanza. Hace poco más de daño que la versión de cuero."
meleeWpnClubScrap,items,item,,,Scrap Iron Club,,Schrott-Club,Sucata de Ferro Clube,Fer club Scrap,Rottami di ferro Club,スクラップアイアンクラブ,스크랩 철 클럽,Złom żelaza Klub,Sucata de Ferro Clube,Дубина из металлолома,Hurda Demir Kulübü,废铁俱乐部,廢鐵俱樂部,Chatarra de hierro del club
meleeWpnClubScrapDesc,items,item,,,A lump of metal with bits of iron hammered into it. Makes it slightly more durable.,,Ein Klumpen aus Metall mit Bits von Eisen hineingehämmert. Macht es etwas mehr haltbar.,"Um pedaço de metal, com pedaços de ferro martelado para ele. Torna um pouco mais durável.",Un morceau de métal avec des morceaux de fer martelé en elle. Rend un peu plus durable.,Un pezzo di metallo con punte di ferro martellato in esso. Rende leggermente più durevole.,そこに打た鉄のビットを有する金属の塊。それは少しより耐久性になります。,그것에 망치 철 비트 금속 덩어리. 그것은 약간 더 내구성이 있습니다.,"Bryła metalu bitów żelaza młotkiem do niego. Sprawia, że ​​nieco bardziej wytrzymałe.","Um pedaço de metal, com pedaços de ferro martelado para ele. Torna um pouco mais durável.",Кусок металла с вбитыми в него кусочками железа. Делает его немного более прочным.,içine dövülmüş demir bit metal götürü. biraz daha dayanıklı hale getirir.,金属的块状与锤入它的铁位。稍微更耐用，使。,金屬的塊狀與錘入它的鐵位。稍微更耐用，使。,Un trozo de metal con trozos de hierro martillado en ella. Hace que sea un poco más duradera.
resourceArrowHeadScrapIron,items,item,,,Scrap Iron Arrowhead,,Alteisen Arrowhead,Sucata de ferro Arrowhead,Déchets de fer Arrowhead,Rottami di ferro Arrowhead,スクラップアイアンアローヘッド,스크랩 철 화살촉,Złom żelaza Arrowhead,Sucata de ferro Arrowhead,Наконечники стрел из металлолома,Hurda Demir Arrowhead,废铁箭头,廢鐵箭頭,Chatarra de hierro punta de flecha
